country,alpha2,alpha3,region,subregion
Åland Islands,AX,ALA,Europe,Northern Europe
Albania,AL,ALB,Europe,Southern Europe
Andorra,AD,AND,Europe,Southern Europe
Austria,AT,AUT,Europe,Western Europe
Belarus,BY,BLR,Europe,Eastern Europe
Belgium,BE,BEL,Europe,Western Europe
Bosnia and Herzegovina,BA,BIH,Europe,Southern Europe
Bulgaria,BG,BGR,Europe,Eastern Europe
Croatia,HR,HRV,Europe,Southern Europe
Czechia,CZ,CZE,Europe,Eastern Europe
Denmark,DK,DNK,Europe,Northern Europe
Estonia,EE,EST,Europe,Northern Europe
Faroe Islands,FO,FRO,Europe,Northern Europe
Finland,FI,FIN,Europe,Northern Europe
France,FR,FRA,Europe,Western Europe
Germany,DE,DEU,Europe,Western Europe
Gibraltar,GI,GIB,Europe,Southern Europe
Greece,GR,GRC,Europe,Southern Europe
Guernsey,GG,GGY,Europe,Northern Europe
Holy See,VA,VAT,Europe,Southern Europe
Hungary,HU,HUN,Europe,Eastern Europe
Iceland,IS,ISL,Europe,Northern Europe
Ireland,IE,IRL,Europe,Northern Europe
Isle of Man,IM,IMN,Europe,Northern Europe
Italy,IT,ITA,Europe,Southern Europe
Jersey,JE,JEY,Europe,Northern Europe
Latvia,LV,LVA,Europe,Northern Europe
Liechtenstein,LI,LIE,Europe,Western Europe
Lithuania,LT,LTU,Europe,Northern Europe
Luxembourg,LU,LUX,Europe,Western Europe
Macedonia (the former Yugoslav Republic of),MK,MKD,Europe,Southern Europe
Malta,MT,MLT,Europe,Southern Europe
Moldova (Republic of),MD,MDA,Europe,Eastern Europe
Monaco,MC,MCO,Europe,Western Europe
Montenegro,ME,MNE,Europe,Southern Europe
Netherlands,NL,NLD,Europe,Western Europe
Norway,NO,NOR,Europe,Northern Europe
Poland,PL,POL,Europe,Eastern Europe
Portugal,PT,PRT,Europe,Southern Europe
Romania,RO,ROU,Europe,Eastern Europe
Russian Federation,RU,RUS,Europe,Eastern Europe
San Marino,SM,SMR,Europe,Southern Europe
Serbia,RS,SRB,Europe,Southern Europe
Slovakia,SK,SVK,Europe,Eastern Europe
Slovenia,SI,SVN,Europe,Southern Europe
Spain,ES,ESP,Europe,Southern Europe
Svalbard and Jan Mayen,SJ,SJM,Europe,Northern Europe
Sweden,SE,SWE,Europe,Northern Europe
Switzerland,CH,CHE,Europe,Western Europe
Ukraine,UA,UKR,Europe,Eastern Europe
United Kingdom of Great Britain and Northern Ireland,GB,GBR,Europe,Northern Europe
